order id,customer id,product id,order status,payment id,order date,shipping id,Is old customer,feedback,'quantity':'cost'
69,1063,DSK103,Completed,5,4/25/2024,1,Yes,3,'4': '123.2006214'
70,1063,CHR102,Cancelled,3,7/8/2024,3,No,2,'3': '140.9156075'
71,1066,CHR102,Cancelled,5,2/28/2024,1,No,2,'3': '126.8240468'
72,1066,CHR102,Completed,3,7/13/2024,4,No,2,'3': '125.2583178'
73,1067,SCB101,Cancelled,5,10/17/2023,1,No,3,'7': '56.45627939'
74,1067,BSF101,Completed,4,12/30/2023,1,No,3,'2': '69.89256231'
75,1069,CHR101,Completed,2,5/21/2024,1,No,5,'7': '3.770756345'
76,1070,CHR101,Cancelled,5,11/29/2023,1,No,5,'3': '3.770756345'
77,1071,BSF101,Completed,4,6/17/2024,4,No,3,'9': '69.02969117'
78,1073,SCB101,Completed,2,7/11/2024,1,No,3,'9': '56.45627939'
79,1073,SCB101,Completed,3,9/12/2024,3,Yes,3,'8': '62.72919932'
80,1074,BSF101,Completed,2,11/6/2023,1,No,3,'9': '69.89256231'
81,1077,CHR102,Completed,2,12/26/2023,3,No,2,'3': '140.9156075'
82,1077,SCB101,Completed,2,5/14/2024,4,No,3,'6': '55.75928829'
83,1079,CHR101,Completed,5,10/24/2023,1,No,5,'2': '3.770756345'
84,1079,CHR102,Completed,5,9/12/2024,4,Yes,2,'4': '125.2583178'
85,1079,CHR102,Completed,4,9/15/2024,4,No,2,'3': '125.2583178'
86,1080,CHR102,Cancelled,5,1/3/2024,1,No,2,'4': '126.8240468'
87,1080,SCB101,completed,3,8/18/2024,3,No,3,'1': '62.72919932'
88,1083,BSF101,Completed,3,7/29/2024,4,No,3,'4': '69.02969117'
89,1085,CHR101,Completed,2,10/11/2023,3,No,5,'1': '4.189729272'
90,1085,SCB101,Completed,2,5/2/2024,4,No,3,'3': '55.75928829'
91,1086,CHR101,Completed,5,7/1/2024,4,No,5,'8': '3.724203797'
92,1089,CHR102,Completed,4,8/9/2024,3,No,2,'5': '140.9156075'
93,1090,SCB101,Cancelled,4,5/4/2024,3,No,3,'3': '62.72919932'
94,1091,BSF101,Cancelled,3,3/22/2024,3,Yes,3,'2': '77.65840257'
95,1093,CHR102,Completed,3,4/27/2024,3,No,2,'9': '140.9156075'
96,1094,CHR101,Completed,4,5/7/2024,4,No,5,'1': '3.724203797'
97,1096,CHR101,Completed,5,12/13/2023,1,Yes,5,'2': '3.770756345'
98,1096,DSK103,Completed,2,5/15/2024,4,No,3,'10': '121.6796261'
99,1097,SCB101,Completed,5,3/25/2024,3,No,3,'4': '62.72919932'
100,1099,CHR102,Cancelled,3,10/9/2023,1,No,2,'2': '126.8240468'
101,1099,DSK103,Cancelled,5,5/31/2024,4,No,3,'3': '121.6796261'
102,1100,SCB101,Completed,3,2/29/2024,3,Yes,3,'3': '62.72919932'
103,1100,BSF101,Completed,3,5/19/2024,4,Yes,3,'4': '69.02969117'
104,1101,CHR101,Completed,2,10/9/2023,1,Yes,5,'10': '3.770756345'
105,1101,CHR102,Cancelled,3,10/25/2023,4,No,2,'1': '125.2583178'
106,1101,CHR101,Completed,2,5/23/2024,4,No,5,'2': '3.724203797'
107,1101,CHR101,Completed,5,7/23/2024,3,No,5,'3': '4.189729272'
108,1102,CHR101,cancelle,5,8/6/2024,3,No,5,'8': '4.189729272'
109,1105,SCB101,Completed,4,9/20/2024,4,No,3,'6': '55.75928829'
110,1109,DSK103,Cancelled,4,3/25/2024,4,No,3,'4': '121.6796261'
111,1109,CHR101,completed,4,7/13/2024,4,Yes,5,'9': '3.724203797'
112,1110,CHR101,Completed,3,7/11/2024,3,No,5,'10': '4.189729272'
113,1112,SCB101,Completed,5,2/15/2024,4,No,3,'9': '55.75928829'
114,1112,SCB101,Completed,5,6/19/2024,3,No,3,'9': '62.72919932'
115,1114,CHR102,Completed,5,1/31/2024,4,No,2,'6': '125.2583178'
116,1115,CHR102,Cancelled,2,12/30/2023,4,No,2,'1': '125.2583178'
117,1115,BSF101,Completed,5,6/4/2024,4,Yes,3,'1': '69.02969117'
118,1115,SCB101,Completed,4,9/10/2024,1,No,3,'1': '56.45627939'
119,1116,DSK103,Cancelled,5,1/10/2024,4,No,3,'9': '121.6796261'
120,1116,DSK103,Completed,2,5/20/2024,3,No,3,'9': '136.8895794'
121,1117,BSF101,completed,4,3/6/2024,4,No,3,'2': '69.02969117'
122,1119,SCB101,Completed,3,1/12/2024,1,No,3,'6': '56.45627939'
123,1120,CHR101,Completed,4,12/13/2023,3,Yes,5,'9': '4.189729272'
124,1120,CHR101,Cancelled,3,2/25/2024,3,No,5,'5': '4.189729272'
125,1122,CHR102,Cancelled,5,9/15/2024,3,Yes,2,'7': '140.9156075'
126,1123,BSF101,Cancelled,3,4/9/2024,4,Yes,3,'8': '69.02969117'
127,1123,CHR102,Completed,4,8/12/2024,1,Yes,2,'1': '126.8240468'
128,1124,DSK103,Completed,3,2/12/2024,4,No,3,'4': '121.6796261'
129,1124,DSK103,completed,4,2/26/2024,1,Yes,3,'8': '123.2006214'
130,1124,CHR102,Completed,5,9/5/2024,4,No,2,'4': '125.2583178'
131,1125,BSF101,Completed,4,1/8/2024,3,No,3,'7': '77.65840257'
132,1125,DSK103,Completed,2,8/24/2024,1,No,3,'8': '123.2006214'
133,1127,BSF101,Completed,5,12/6/2023,3,No,3,'8': '77.65840257'
134,1127,CHR101,Cancelled,5,3/22/2024,3,No,5,'8': '4.189729272'
135,1129,CHR101,Cancelled,2,12/9/2023,4,Yes,5,'1': '3.724203797'
136,1130,CHR102,Completed,4,11/4/2023,3,Yes,2,'6': '140.9156075'
137,1132,CHR101,Completed,2,5/2/2024,1,Yes,5,'6': '3.770756345'
138,1133,DSK103,Completed,2,3/27/2024,3,No,3,'3': '136.8895794'
139,1133,BSF101,Completed,4,7/6/2024,1,Yes,3,'8': '69.89256231'
140,1134,CHR102,Completed,5,12/1/2023,3,Yes,2,'8': '140.9156075'
141,1134,DSK103,Completed,4,12/22/2023,4,No,3,'2': '121.6796261'
142,1134,DSK103,Cancelled,4,6/10/2024,3,No,3,'8': '136.8895794'
143,1134,CHR102,Completed,5,7/22/2024,1,No,2,'9': '126.8240468'
144,1136,BSF101,Completed,3,12/14/2023,4,No,3,'1': '69.02969117'
145,1139,CHR102,Cancelled,4,9/21/2024,4,No,2,'8': '125.2583178'
146,1141,CHR101,Completed,5,12/2/2023,3,No,5,'1': '4.189729272'
147,1141,DSK103,Completed,3,12/30/2023,1,No,3,'3': '123.2006214'
148,1141,DSK103,Completed,4,4/14/2024,1,No,3,'8': '123.2006214'
149,1142,DSK103,Completed,2,10/26/2023,1,No,3,'9': '123.2006214'
150,1143,BSF101,Completed,2,12/6/2023,3,No,3,'4': '77.65840257'
151,1144,BSF101,completed,4,2/26/2024,4,No,3,'1': '69.02969117'
152,1145,CHR101,Completed,2,1/19/2024,4,No,5,'4': '3.724203797'
153,1145,CHR101,Completed,5,5/23/2024,3,No,5,'3': '4.189729272'
154,1145,BSF101,Cancelled,4,9/13/2024,3,No,3,'6': '77.65840257'
155,1147,BSF101,Completed,2,7/19/2024,4,Yes,3,'10': '69.02969117'
156,1148,SCB101,Completed,2,3/5/2024,1,Yes,3,'10': '56.45627939'
157,1148,DSK103,Cancelled,3,3/14/2024,1,No,3,'2': '123.2006214'
158,1148,CHR102,Completed,5,8/17/2024,1,No,2,'5': '126.8240468'
159,1149,BSF101,Completed,4,10/30/2023,4,No,3,'4': '69.02969117'
160,1149,CHR101,Cancelled,5,7/6/2024,3,No,5,'5': '4.189729272'
161,1149,CHR101,Completed,3,8/11/2024,3,Yes,5,'4': '4.189729272'
162,1150,CHR102,Completed,4,3/16/2024,3,No,2,'7': '140.9156075'
163,1151,SCB101,Completed,5,4/10/2024,3,No,3,'5': '62.72919932'
164,1151,CHR101,Cancelled,2,7/18/2024,3,No,5,'8': '4.189729272'
165,1152,CHR101,Completed,2,2/10/2024,3,No,5,'6': '4.189729272'
166,1154,DSK103,Completed,3,9/9/2024,4,No,3,'1': '121.6796261'
167,1155,BSF101,completed,4,3/17/2024,3,No,3,'7': '77.65840257'
168,1155,CHR102,Completed,2,5/22/2024,3,No,2,'5': '140.9156075'
169,1160,CHR101,Cancelled,4,9/4/2024,3,Yes,5,'4': '4.189729272'
170,1162,BSF101,Cancelled,5,8/2/2024,4,No,3,'4': '69.02969117'
171,1167,CHR101,Completed,5,12/5/2023,3,Yes,5,'6': '4.189729272'
172,1168,DSK103,Cancelled,5,10/27/2023,4,No,3,'3': '121.6796261'
173,1169,CHR102,Cancelled,3,10/3/2023,4,No,2,'7': '125.2583178'
174,1169,DSK103,cancelle,3,5/23/2024,4,Yes,3,'6': '121.6796261'
175,1170,CHR102,Completed,3,4/1/2024,4,No,2,'7': '125.2583178'
176,1171,DSK103,Completed,4,10/8/2023,1,Yes,3,'7': '123.2006214'
177,1171,DSK103,Completed,3,12/15/2023,4,No,3,'9': '121.6796261'
178,1171,SCB101,Completed,2,8/6/2024,1,No,3,'4': '56.45627939'
179,1171,SCB101,Completed,5,9/7/2024,4,No,3,'3': '55.75928829'
180,1174,CHR101,Cancelled,2,2/11/2024,4,Yes,5,'3': '3.724203797'
181,1174,SCB101,cancelled,3,8/13/2024,1,No,3,'4': '56.45627939'
182,1175,BSF101,Cancelled,5,11/5/2023,1,No,3,'1': '69.89256231'
183,1175,DSK103,Completed,3,9/17/2024,3,No,3,'7': '136.8895794'
184,1177,DSK103,Completed,5,5/30/2024,4,No,3,'6': '121.6796261'
185,1178,SCB101,Cancelled,3,4/23/2024,4,No,3,'1': '55.75928829'
186,1180,BSF101,Completed,5,3/15/2024,3,No,3,'9': '77.65840257'
187,1181,CHR102,Completed,5,8/4/2024,1,No,2,'5': '126.8240468'
188,1182,CHR102,Completed,4,11/15/2023,1,Yes,2,'5': '126.8240468'
189,1182,CHR102,Completed,4,11/17/2023,4,No,2,'10': '125.2583178'
190,1183,DSK103,Cancelled,3,9/29/2023,1,No,3,'1': '123.2006214'
191,1183,SCB101,Cancelled,5,9/18/2024,1,Yes,3,'1': '56.45627939'
192,1184,DSK103,Completed,4,8/9/2024,3,Yes,3,'3': '136.8895794'
193,1185,BSF101,Cancelled,2,2/6/2024,3,No,3,'3': '77.65840257'
194,1186,SCB101,Cancelled,3,12/1/2023,3,No,3,'1': '62.72919932'
195,1187,BSF101,Completed,4,2/2/2024,3,No,3,'3': '77.65840257'
196,1188,CHR102,Completed,3,1/28/2024,1,No,2,'3': '126.8240468'
197,1188,SCB101,Cancelled,3,8/21/2024,1,Yes,3,'8': '56.45627939'
198,1189,SCB101,Completed,3,11/17/2023,3,No,3,'2': '62.72919932'
199,1190,SCB101,Completed,2,12/3/2023,4,No,3,'7': '55.75928829'
200,1190,BSF101,Completed,2,12/26/2023,3,Yes,3,'8': '77.65840257'
201,1190,SCB101,Completed,2,8/10/2024,1,No,3,'2': '56.45627939'
202,1192,CHR101,Completed,5,11/24/2023,4,No,5,'2': '3.724203797'
203,1192,BSF101,Cancelled,2,2/25/2024,1,No,3,'7': '69.89256231'
204,1192,CHR101,Cancelled,5,9/14/2024,4,No,5,'10': '3.724203797'
205,1193,SCB101,completed,3,6/4/2024,3,Yes,3,'2': '62.72919932'
206,1193,SCB101,Completed,5,8/18/2024,4,No,3,'8': '55.75928829'
207,1194,SCB101,Completed,2,11/12/2023,3,No,3,'2': '62.72919932'
208,1195,DSK103,Completed,3,10/13/2023,4,No,3,'7': '121.6796261'
209,1196,DSK103,Cancelled,5,12/14/2023,1,No,3,'8': '123.2006214'
210,1196,CHR102,Completed,2,4/7/2024,3,No,2,'1': '140.9156075'
211,1196,DSK103,Complete,4,5/10/2024,3,No,3,'1': '136.8895794'
212,1197,CHR101,Completed,3,5/10/2024,4,Yes,5,'3': '3.724203797'
213,1197,BSF101,Completed,2,6/30/2024,1,No,3,'5': '69.89256231'
214,1197,DSK103,cancelled,2,9/21/2024,3,No,3,'9': '136.8895794'
215,1199,SCB101,Completed,4,7/11/2024,3,Yes,3,'6': '62.72919932'
216,1203,CHR102,Cancelled,3,1/17/2024,1,No,2,'6': '126.8240468'
217,1203,DSK103,Completed,3,4/30/2024,1,No,3,'5': '123.2006214'
218,1205,SCB101,Completed,4,8/2/2024,1,No,3,'7': '56.45627939'
219,1208,BSF101,Complete,4,7/25/2024,1,No,3,'1': '69.89256231'
220,1210,BSF101,Completed,5,2/26/2024,1,No,3,'10': '69.89256231'
221,1210,SCB101,cancelle,4,4/29/2024,4,No,3,'3': '55.75928829'
222,1211,CHR101,Completed,2,1/4/2024,1,Yes,5,'3': '3.770756345'
223,1211,SCB101,Completed,4,1/29/2024,4,No,3,'9': '55.75928829'
224,1211,BSF101,Completed,2,7/7/2024,1,No,3,'1': '69.89256231'
225,1212,BSF101,Cancelled,5,4/10/2024,4,Yes,3,'8': '69.02969117'
226,1215,BSF101,Cancelled,5,12/18/2023,1,No,3,'9': '69.89256231'
227,1215,CHR102,Cancelled,5,9/15/2024,4,No,2,'9': '125.2583178'
228,1216,CHR102,Completed,2,9/20/2024,3,Yes,2,'3': '140.9156075'
229,1217,CHR101,Completed,5,2/9/2024,3,No,5,'5': '4.189729272'
230,1217,CHR101,Completed,2,2/15/2024,3,Yes,5,'9': '4.189729272'
231,1217,BSF101,completed,2,3/22/2024,4,No,3,'8': '69.02969117'
232,1217,CHR101,Completed,2,3/24/2024,3,Yes,5,'10': '4.189729272'
233,1218,BSF101,Cancelled,4,12/29/2023,4,No,3,'3': '69.02969117'
234,1220,BSF101,Cancelled,3,3/13/2024,1,No,3,'10': '69.89256231'
235,1220,CHR101,Completed,2,8/8/2024,4,Yes,5,'9': '3.724203797'
236,1222,BSF101,Completed,3,8/13/2024,1,No,3,'10': '69.89256231'
237,1223,CHR101,Completed,2,3/8/2024,1,No,5,'8': '3.770756345'
238,1224,CHR102,Cancelled,2,6/19/2024,1,No,2,'5': '126.8240468'
239,1224,CHR102,Completed,2,6/28/2024,1,No,2,'7': '126.8240468'
240,1226,DSK103,Cancelled,4,5/25/2024,4,No,3,'2': '121.6796261'
241,1226,DSK103,Cancelled,3,8/18/2024,3,No,3,'8': '136.8895794'
242,1227,CHR102,Completed,4,2/10/2024,4,No,2,'2': '125.2583178'
243,1228,CHR102,Cancelled,5,10/18/2023,3,No,2,'7': '140.9156075'
244,1229,SCB101,Cancelled,3,1/11/2024,4,No,3,'2': '55.75928829'
245,1232,CHR102,Completed,2,2/23/2024,1,Yes,2,'6': '126.8240468'
246,1234,BSF101,Completed,3,5/27/2024,1,Yes,3,'5': '69.89256231'
247,1234,BSF101,Completed,4,9/23/2024,4,No,3,'10': '69.02969117'
248,1235,CHR101,completed,3,8/22/2024,3,No,5,'5': '4.189729272'
249,1236,CHR101,Cancelled,4,8/14/2024,1,Yes,5,'9': '3.770756345'
250,1236,CHR102,Cancelled,5,9/1/2024,4,No,2,'8': '125.2583178'
251,1237,SCB101,Complete,5,3/12/2024,3,Yes,3,'4': '62.72919932'
252,1237,SCB101,Completed,5,4/6/2024,1,Yes,3,'4': '56.45627939'
253,1244,SCB101,Cancelled,2,12/12/2023,4,No,3,'6': '55.75928829'
254,1244,CHR102,Completed,3,2/5/2024,4,No,2,'6': '125.2583178'
255,1244,CHR102,Cancelled,5,2/7/2024,1,No,2,'4': '126.8240468'
256,1244,CHR101,Cancelled,3,5/23/2024,3,Yes,5,'9': '4.189729272'
257,1244,SCB101,cancelle,2,7/23/2024,1,No,3,'9': '56.45627939'
258,1245,BSF101,Cancelled,4,7/24/2024,4,Yes,3,'7': '69.02969117'
259,1246,SCB101,Completed,5,1/5/2024,1,No,3,'2': '56.45627939'
260,1247,CHR102,Cancelled,5,10/18/2023,4,No,2,'4': '125.2583178'
261,1247,SCB101,Completed,3,5/25/2024,4,No,3,'7': '55.75928829'
262,1248,SCB101,Cancelled,5,11/4/2023,4,No,3,'3': '55.75928829'
263,1248,CHR101,Completed,3,2/15/2024,3,No,5,'3': '4.189729272'
264,1248,DSK103,Cancelled,4,4/7/2024,1,No,3,'8': '123.2006214'
265,1250,SCB101,Cancelled,5,10/14/2023,1,Yes,3,'6': '56.45627939'
266,1250,CHR102,Cancelled,3,8/26/2024,4,No,2,'5': '125.2583178'
267,1251,DSK103,Completed,2,6/13/2024,3,Yes,3,'9': '136.8895794'
268,1252,CHR102,Completed,3,4/15/2024,3,No,2,'10': '140.9156075'
269,1253,BSF101,Completed,5,12/27/2023,3,No,3,'6': '77.65840257'
270,1253,CHR102,Completed,4,2/15/2024,3,No,2,'10': '140.9156075'
271,1254,SCB101,Completed,3,3/16/2024,4,No,3,'9': '55.75928829'
272,1255,CHR101,Completed,5,3/12/2024,4,Yes,5,'10': '3.724203797'
273,1255,CHR101,Completed,3,8/10/2024,3,No,5,'5': '4.189729272'
274,1256,CHR102,Cancelled,5,6/28/2024,1,No,2,'4': '126.8240468'
275,1257,CHR101,Completed,3,7/17/2024,3,No,5,'6': '4.189729272'
276,1258,SCB101,Completed,2,5/10/2024,3,No,3,'4': '62.72919932'
277,1261,CHR102,Completed,3,1/31/2024,1,No,2,'1': '126.8240468'
278,1262,CHR102,Completed,3,11/24/2023,4,Yes,2,'5': '125.2583178'
279,1263,BSF101,Copleted,2,10/19/2023,1,Yes,3,'6': '69.89256231'
280,1263,BSF101,Completed,4,10/22/2023,3,No,3,'8': '77.65840257'
281,1264,CHR101,Completed,2,4/17/2024,3,No,5,'9': '4.189729272'
282,1265,SCB101,Completed,4,10/12/2023,3,No,3,'1': '62.72919932'
283,1265,BSF101,Cancelled,5,11/9/2023,4,No,3,'9': '69.02969117'
284,1265,CHR102,Completed,4,6/26/2024,3,No,2,'2': '140.9156075'
285,1265,CHR101,Cancelled,4,9/21/2024,1,No,5,'1': '3.770756345'
286,1266,CHR102,Cancelled,4,6/4/2024,1,No,2,'1': '126.8240468'
287,1267,SCB101,Completed,4,1/12/2024,4,Yes,3,'7': '55.75928829'
288,1268,BSF101,Completed,2,9/30/2023,1,No,3,'6': '69.89256231'
289,1268,CHR102,Completed,2,4/18/2024,1,Yes,2,'6': '126.8240468'
290,1268,BSF101,Completed,2,7/22/2024,3,Yes,3,'4': '77.65840257'
291,1269,CHR101,Completed,5,7/31/2024,4,Yes,5,'9': '3.724203797'
292,1271,SCB101,Completed,2,10/11/2023,3,No,3,'1': '62.72919932'
293,1271,BSF101,Cancelled,3,9/19/2024,3,No,3,'8': '77.65840257'
294,1272,SCB101,complete,4,3/11/2024,4,No,3,'10': '55.75928829'
295,1276,SCB101,Cancelled,4,3/4/2024,1,No,3,'5': '56.45627939'
296,1276,SCB101,Completed,4,3/13/2024,1,No,3,'7': '56.45627939'
297,1277,BSF101,Cancelled,4,3/8/2024,3,No,3,'4': '77.65840257'
298,1277,SCB101,Completed,2,6/13/2024,3,No,3,'1': '62.72919932'
299,1278,BSF101,Completed,3,10/8/2023,1,No,3,'1': '69.89256231'
300,1278,DSK103,Completed,5,11/24/2023,4,No,3,'1': '121.6796261'
301,1278,DSK103,Completed,4,2/5/2024,1,No,3,'7': '123.2006214'
302,1278,DSK103,Completed,3,8/5/2024,1,No,3,'5': '123.2006214'
303,1280,CHR101,Completed,4,11/26/2023,4,No,5,'6': '3.724203797'
304,1280,BSF101,Completed,4,8/21/2024,1,No,3,'8': '69.89256231'
305,1283,CHR101,Completed,4,5/5/2024,3,No,5,'9': '4.189729272'
306,1286,SCB101,Completed,4,11/20/2023,3,No,3,'4': '62.72919932'
307,1286,DSK103,Cancelled,2,6/8/2024,3,Yes,3,'10': '136.8895794'
308,1286,DSK103,Completed,5,7/12/2024,1,No,3,'7': '123.2006214'
309,1287,BSF101,Completed,2,12/7/2023,3,Yes,3,'4': '77.65840257'
310,1287,DSK103,cancelled,4,3/21/2024,1,No,3,'4': '123.2006214'
311,1287,CHR102,Cancelled,2,5/1/2024,4,Yes,2,'2': '125.2583178'
312,1287,SCB101,Completed,2,8/12/2024,1,No,3,'6': '56.45627939'
313,1288,CHR102,Completed,5,3/20/2024,3,Yes,2,'10': '140.9156075'
314,1290,DSK103,Cancelled,4,1/8/2024,1,No,3,'8': '123.2006214'
315,1292,CHR102,Completed,5,11/18/2023,4,No,2,'6': '125.2583178'
316,1292,SCB101,completed,4,3/31/2024,3,Yes,3,'8': '62.72919932'
317,1292,DSK103,Completed,5,6/29/2024,3,No,3,'1': '136.8895794'
318,1293,CHR102,Completed,5,10/30/2023,3,Yes,2,'6': '140.9156075'
319,1294,DSK103,Completed,2,3/6/2024,1,No,3,'8': '123.2006214'
320,1295,CHR102,cancelled,4,8/7/2024,4,No,2,'6': '125.2583178'
321,1296,CHR101,Completed,2,10/18/2023,3,No,5,'7': '4.189729272'
322,1296,BSF101,Completed,4,12/23/2023,1,No,3,'8': '69.89256231'
323,1298,SCB101,Completed,3,11/3/2023,3,No,3,'7': '62.72919932'
324,1299,CHR102,Completed,3,11/28/2023,4,No,2,'10': '125.2583178'
325,1300,CHR101,Completed,2,4/19/2024,4,No,5,'8': '3.724203797'
326,1301,CHR102,Cancelled,5,3/24/2024,1,No,2,'2': '126.8240468'
327,1301,CHR102,Completed,3,8/1/2024,1,Yes,2,'1': '126.8240468'
328,1302,CHR101,Completed,4,8/31/2024,3,No,5,'7': '4.189729272'
329,1303,CHR101,Completed,5,6/21/2024,3,No,5,'9': '4.189729272'
330,1303,CHR102,Completed,4,6/24/2024,3,No,2,'3': '140.9156075'
331,1304,SCB101,Completed,4,10/24/2023,3,No,3,'3': '62.72919932'
332,1305,CHR102,Completed,3,11/8/2023,4,No,2,'4': '125.2583178'
333,1305,BSF101,Cancelled,3,6/13/2024,1,No,3,'7': '69.89256231'
334,1306,BSF101,cancelled,5,10/6/2023,4,Yes,3,'7': '69.02969117'
335,1306,CHR101,Completed,4,1/28/2024,3,No,5,'3': '4.189729272'
336,1307,DSK103,Completed,2,3/18/2024,1,No,3,'2': '123.2006214'
337,1307,SCB101,Cancelled,2,5/25/2024,3,No,3,'6': '62.72919932'
338,1308,DSK103,Completed,5,1/7/2024,1,Yes,3,'3': '123.2006214'
339,1309,DSK103,Cancelled,3,4/7/2024,4,No,3,'6': '121.6796261'
